"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009636","GO:0009636","response to toxic substance",119,-0.581791463671916,-2.10402728119638,3.47568401622543e-08,8.79664027379237e-06,7.34716362855692e-06,2834,"tags=35%, list=16%, signal=30%","Me1_v2_0116120/Me1_v2_0203040/Me1_v2_0067560/Me1_v2_0108320/Me1_v2_0098140/Me1_v2_0079820/Me1_v2_0109190/Me1_v2_0105180/Me1_v2_0035900/Me1_v2_0091740/Me1_v2_0229810/Me1_v2_0226620/Me1_v2_0218050/Me1_v2_0024570/Me1_v2_0201620/Me1_v2_0227320/Me1_v2_0113240/Me1_v2_0042090/Me1_v2_0052660/Me1_v2_0087740/Me1_v2_0073890/Me1_v2_0122310/Me1_v2_0109620/Me1_v2_0080930/Me1_v2_0113260/Me1_v2_0113250/Me1_v2_0123010/Me1_v2_0087730/Me1_v2_0134740/Me1_v2_0153960/Me1_v2_0124990/Me1_v2_0105890/Me1_v2_0083500/Me1_v2_0065120/Me1_v2_0166130/Me1_v2_0103210/Me1_v2_0129030/Me1_v2_0111960/Me1_v2_0103200/Me1_v2_0214100/Me1_v2_0214180/Me1_v2_0214160"
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process",26,-0.814904473484656,-2.2417748790902,6.1172082894284e-08,1.31002368290528e-05,1.0941630049674e-05,637,"tags=46%, list=4%, signal=45%","Me1_v2_0162940/Me1_v2_0050320/Me1_v2_0162930/Me1_v2_0036840/Me1_v2_0085320/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720/Me1_v2_0080830/Me1_v2_0185340"
"GO:0006551","GO:0006551","leucine metabolic process",15,-0.897207320189033,-2.14728142587247,5.72798823574526e-08,1.31002368290528e-05,1.0941630049674e-05,637,"tags=67%, list=4%, signal=64%","Me1_v2_0162940/Me1_v2_0050320/Me1_v2_0162930/Me1_v2_0036840/Me1_v2_0085320/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720"
"GO:0009063","GO:0009063","cellular amino acid catabolic process",47,-0.709655562548679,-2.1946378361426,1.03345195669215e-07,2.05509303387924e-05,1.71646268596463e-05,2243,"tags=45%, list=13%, signal=39%","Me1_v2_0167070/Me1_v2_0126430/Me1_v2_0062370/Me1_v2_0112150/Me1_v2_0132160/Me1_v2_0123010/Me1_v2_0058420/Me1_v2_0050320/Me1_v2_0181120/Me1_v2_0036840/Me1_v2_0052020/Me1_v2_0085320/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0102850/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720/Me1_v2_0080830/Me1_v2_0185340"
"GO:0033045","GO:0033045","regulation of sister chromatid segregation",19,0.851252589688919,2.34281191564965,1.45366972854216e-07,2.69801101617426e-05,2.25344310901729e-05,1180,"tags=37%, list=7%, signal=34%","Me1_v2_0041660/Me1_v2_0219700/Me1_v2_0234360/Me1_v2_0197210/Me1_v2_0109700/Me1_v2_0038920/Me1_v2_0218700"
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process",34,-0.766142036232339,-2.22645810489256,1.78601106279865e-07,3.10765924926964e-05,2.59559107744882e-05,2247,"tags=50%, list=13%, signal=44%","Me1_v2_0226240/Me1_v2_0061030/Me1_v2_0132160/Me1_v2_0058420/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0052020/Me1_v2_0102850/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
"GO:0009083","GO:0009083","branched-chain amino acid catabolic process",14,-0.894211406745545,-2.11837046060641,2.12435033817807e-07,3.47893608322808e-05,2.90569033872158e-05,607,"tags=71%, list=3%, signal=69%","Me1_v2_0050320/Me1_v2_0036840/Me1_v2_0085320/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720/Me1_v2_0080830/Me1_v2_0185340"
"GO:0044242","GO:0044242","cellular lipid catabolic process",52,-0.686163351177961,-2.18009432095821,2.30711392183628e-07,3.56833619910678e-05,2.98035944639552e-05,1475,"tags=40%, list=8%, signal=37%","Me1_v2_0092880/Me1_v2_0062330/Me1_v2_0226240/Me1_v2_0061030/Me1_v2_0025690/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0096780/Me1_v2_0163300/Me1_v2_0027320/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0096800/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0096810/Me1_v2_0078830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation",18,0.842778619666593,2.270461419962,2.9661364694111e-07,4.09733356960925e-05,3.42219065912993e-05,1180,"tags=33%, list=7%, signal=31%","Me1_v2_0041660/Me1_v2_0219700/Me1_v2_0234360/Me1_v2_0197210/Me1_v2_0038920/Me1_v2_0218700"
"GO:0009523","GO:0009523","photosystem II",12,0.900793243686869,2.17238932037059,3.0906610977656e-07,4.09733356960925e-05,3.42219065912993e-05,1276,"tags=92%, list=7%, signal=85%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0070300/Me1_v2_0066240/Me1_v2_0204590/Me1_v2_0204080"
"GO:1901606","GO:1901606","alpha-amino acid catabolic process",42,-0.714552964698049,-2.17131958592979,2.95043763712374e-07,4.09733356960925e-05,3.42219065912993e-05,2004,"tags=43%, list=11%, signal=38%","Me1_v2_0126430/Me1_v2_0062370/Me1_v2_0112150/Me1_v2_0132160/Me1_v2_0123010/Me1_v2_0058420/Me1_v2_0050320/Me1_v2_0181120/Me1_v2_0036840/Me1_v2_0052020/Me1_v2_0085320/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0102850/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720"
"GO:0016042","GO:0016042","lipid catabolic process",57,-0.663849534332926,-2.14183908031386,3.53905780950105e-07,4.47851679165951e-05,3.7405639718602e-05,1475,"tags=37%, list=8%, signal=34%","Me1_v2_0092880/Me1_v2_0062330/Me1_v2_0226240/Me1_v2_0061030/Me1_v2_0025690/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0096780/Me1_v2_0163300/Me1_v2_0027320/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0096800/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0096810/Me1_v2_0078830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
"GO:0006552","GO:0006552","leucine catabolic process",10,-0.928283385837476,-2.02888992275052,4.82862339838692e-07,5.61155839096928e-05,4.68690732216089e-05,607,"tags=80%, list=3%, signal=77%","Me1_v2_0050320/Me1_v2_0036840/Me1_v2_0085320/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0199730/Me1_v2_0039210/Me1_v2_0199720"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",211,-0.48385415190768,-1.8582139226858,4.83755033704248e-07,5.61155839096928e-05,4.68690732216089e-05,3399,"tags=32%, list=19%, signal=26%","Me1_v2_0154470/Me1_v2_0141810/Me1_v2_0067730/Me1_v2_0186480/Me1_v2_0074230/Me1_v2_0061460/Me1_v2_0060060/Me1_v2_0055950/Me1_v2_0226850/Me1_v2_0207560/Me1_v2_0083950/Me1_v2_0055920/Me1_v2_0207570/Me1_v2_0040100/Me1_v2_0178910/Me1_v2_0092880/Me1_v2_0062330/Me1_v2_0012110/Me1_v2_0081300/Me1_v2_0099330/Me1_v2_0207590/Me1_v2_0214090/Me1_v2_0226240/Me1_v2_0167070/Me1_v2_0232720/Me1_v2_0061030/Me1_v2_0129260/Me1_v2_0171180/Me1_v2_0029830/Me1_v2_0145280/Me1_v2_0208210/Me1_v2_0129280/Me1_v2_0232740/Me1_v2_0207600/Me1_v2_0132160/Me1_v2_0031820/Me1_v2_0034800/Me1_v2_0181740/Me1_v2_0123010/Me1_v2_0171170/Me1_v2_0058420/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0124950/Me1_v2_0155080/Me1_v2_0107080/Me1_v2_0094600/Me1_v2_0197960/Me1_v2_0091280/Me1_v2_0094380/Me1_v2_0001920/Me1_v2_0181120/Me1_v2_0158220/Me1_v2_0122150/Me1_v2_0228210/Me1_v2_0038880/Me1_v2_0078830/Me1_v2_0052020/Me1_v2_0102850/Me1_v2_0131420/Me1_v2_0061830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400/Me1_v2_0210340/Me1_v2_0185340/Me1_v2_0213110"
"GO:0009408","GO:0009408","response to heat",113,-0.552075138191698,-1.97775351474634,5.52709065405689e-07,6.15496815235776e-05,5.14077610728913e-05,1815,"tags=27%, list=10%, signal=25%","Me1_v2_0225370/Me1_v2_0105180/Me1_v2_0232720/Me1_v2_0129260/Me1_v2_0075480/Me1_v2_0129280/Me1_v2_0232740/Me1_v2_0052660/Me1_v2_0102570/Me1_v2_0034800/Me1_v2_0199620/Me1_v2_0189830/Me1_v2_0142470/Me1_v2_0199630/Me1_v2_0208550/Me1_v2_0124780/Me1_v2_0223600/Me1_v2_0124990/Me1_v2_0171870/Me1_v2_0216780/Me1_v2_0083500/Me1_v2_0207470/Me1_v2_0103210/Me1_v2_0195300/Me1_v2_0135890/Me1_v2_0185720/Me1_v2_0111960/Me1_v2_0103200/Me1_v2_0214100/Me1_v2_0214180/Me1_v2_0214160"
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process",15,0.855310553587447,2.22195261652283,6.56622249863061e-07,7.03090901391831e-05,5.87238279330972e-05,1032,"tags=60%, list=6%, signal=57%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0049660/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process",35,0.713083537204643,2.30678003866719,9.46733866962122e-07,9.08864512283637e-05,7.59105303854566e-05,1032,"tags=31%, list=6%, signal=30%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0049660/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0064720/Me1_v2_0054690/Me1_v2_0204590"
"GO:0016168","GO:0016168","chlorophyll binding",21,0.78841590067951,2.20694790656466,9.32483873210798e-07,9.08864512283637e-05,7.59105303854566e-05,1032,"tags=71%, list=6%, signal=67%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0090340/Me1_v2_0111850/Me1_v2_0076900/Me1_v2_0085670/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0019904","GO:0019904","protein domain specific binding",68,0.592783408768972,2.20658321522292,8.92378501474039e-07,9.08864512283637e-05,7.59105303854566e-05,2210,"tags=28%, list=12%, signal=25%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0090340/Me1_v2_0111850/Me1_v2_0076900/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0053250/Me1_v2_0204590/Me1_v2_0157570/Me1_v2_0225870/Me1_v2_0069570/Me1_v2_0178470/Me1_v2_0066320"
"GO:0007088","GO:0007088","regulation of mitotic nuclear division",22,0.797151815592313,2.27993774616075,1.14126882705001e-06,0.000105909747150241,8.84583452264373e-05,1180,"tags=27%, list=7%, signal=26%","Me1_v2_0041660/Me1_v2_0219700/Me1_v2_0234360/Me1_v2_0197210/Me1_v2_0038920/Me1_v2_0218700"
"GO:0019395","GO:0019395","fatty acid oxidation",27,-0.775664476049421,-2.15950498393842,1.28736827275623e-06,0.000113082296281389,9.44490292217133e-05,1174,"tags=44%, list=7%, signal=42%","Me1_v2_0061030/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
"GO:0000278","GO:0000278","mitotic cell cycle",173,0.439731601374688,1.88725753526059,1.29979650898148e-06,0.000113082296281389,9.44490292217133e-05,4094,"tags=34%, list=23%, signal=27%","Me1_v2_0041660/Me1_v2_0219700/Me1_v2_0070730/Me1_v2_0197210/Me1_v2_0070720/Me1_v2_0018840/Me1_v2_0084470/Me1_v2_0109700/Me1_v2_0030690/Me1_v2_0038920/Me1_v2_0192840/Me1_v2_0212290/Me1_v2_0065690/Me1_v2_0025650/Me1_v2_0146380/Me1_v2_0030250/Me1_v2_0217170/Me1_v2_0010690/Me1_v2_0103410/Me1_v2_0102220/Me1_v2_0016660/Me1_v2_0051720/Me1_v2_0218700/Me1_v2_0205410/Me1_v2_0235070/Me1_v2_0084460/Me1_v2_0205400/Me1_v2_0023820/Me1_v2_0166300/Me1_v2_0102230/Me1_v2_0131200/Me1_v2_0102240/Me1_v2_0068730/Me1_v2_0014740/Me1_v2_0213580/Me1_v2_0173130/Me1_v2_0027530/Me1_v2_0081500/Me1_v2_0207410/Me1_v2_0221440/Me1_v2_0221780/Me1_v2_0118170/Me1_v2_0089750/Me1_v2_0173120/Me1_v2_0185470/Me1_v2_0107850/Me1_v2_0151270/Me1_v2_0087280/Me1_v2_0132440/Me1_v2_0124080/Me1_v2_0107860/Me1_v2_0107870/Me1_v2_0138860/Me1_v2_0205360/Me1_v2_0039980/Me1_v2_0080410/Me1_v2_0140850/Me1_v2_0172620/Me1_v2_0151280"
"GO:0006635","GO:0006635","fatty acid beta-oxidation",26,-0.781191529936228,-2.14903170193733,1.67424405177718e-06,0.000139545488216173,0.000116551717887752,1174,"tags=46%, list=7%, signal=43%","Me1_v2_0061030/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
"GO:0009503","GO:0009503","thylakoid light-harvesting complex",10,0.912003995356974,2.10006955595017,1.80446752003672e-06,0.000139545488216173,0.000116551717887752,1032,"tags=90%, list=6%, signal=85%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0009517","GO:0009517","PSII associated light-harvesting complex II",10,0.912003995356974,2.10006955595017,1.80446752003672e-06,0.000139545488216173,0.000116551717887752,1032,"tags=90%, list=6%, signal=85%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0030076","GO:0030076","light-harvesting complex",10,0.912003995356974,2.10006955595017,1.80446752003672e-06,0.000139545488216173,0.000116551717887752,1032,"tags=90%, list=6%, signal=85%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0009521","GO:0009521","photosystem",15,0.842691937181441,2.18917157854473,1.88387934003807e-06,0.000141749191423405,0.000118392303332691,1276,"tags=87%, list=7%, signal=81%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0090870/Me1_v2_0184520/Me1_v2_0070300/Me1_v2_0066240/Me1_v2_0204590/Me1_v2_0204080"
"GO:0010119","GO:0010119","regulation of stomatal movement",59,0.604284208024781,2.21852097852712,1.98290699096807e-06,0.000145274027969871,0.000121336330832367,1032,"tags=24%, list=6%, signal=22%","Me1_v2_0224350/Me1_v2_0063070/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0152070/Me1_v2_0215600/Me1_v2_0184520/Me1_v2_0050840/Me1_v2_0066240/Me1_v2_0168740/Me1_v2_0184250/Me1_v2_0204590"
"GO:0034440","GO:0034440","lipid oxidation",29,-0.758282438664075,-2.14226272024759,2.05939463858625e-06,0.000147009094200619,0.000122785499504373,1174,"tags=41%, list=7%, signal=39%","Me1_v2_0061030/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0072050/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0133400"
