"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016168","GO:0016168","chlorophyll binding","12/446","21/5408",1.26815041386529e-08,2.1339512873315e-06,2.02661358005266e-06,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0134820/Me1_v2_0184520",12
"GO:0016491","GO:0016491","oxidoreductase activity","58/446","333/5408",1.59188489818458e-08,2.45548245544971e-06,2.33197173681425e-06,"Me1_v2_0130990/Me1_v2_0064300/Me1_v2_0060490/Me1_v2_0185340/Me1_v2_0074320/Me1_v2_0068040/Me1_v2_0133400/Me1_v2_0215170/Me1_v2_0199720/Me1_v2_0159980/Me1_v2_0039210/Me1_v2_0215180/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0226280/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0078830/Me1_v2_0057530/Me1_v2_0166130/Me1_v2_0038880/Me1_v2_0122150/Me1_v2_0036840/Me1_v2_0158220/Me1_v2_0162930/Me1_v2_0097840/Me1_v2_0128130/Me1_v2_0091280/Me1_v2_0194020/Me1_v2_0112000/Me1_v2_0228450/Me1_v2_0138040/Me1_v2_0204130/Me1_v2_0206010/Me1_v2_0189820/Me1_v2_0102400/Me1_v2_0088300/Me1_v2_0124530/Me1_v2_0207660/Me1_v2_0107080/Me1_v2_0138740/Me1_v2_0107390/Me1_v2_0122130/Me1_v2_0216110/Me1_v2_0107380/Me1_v2_0140300/Me1_v2_0153960/Me1_v2_0075340/Me1_v2_0081420/Me1_v2_0070300/Me1_v2_0188630/Me1_v2_0141650/Me1_v2_0120920/Me1_v2_0162590/Me1_v2_0196170/Me1_v2_0134740/Me1_v2_0057820/Me1_v2_0168570",58
"GO:0009083","GO:0009083","branched-chain amino acid catabolic process","9/446","12/5408",2.87235262523305e-08,4.08978823792798e-06,3.88407197096291e-06,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0199720/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0115590/Me1_v2_0085320/Me1_v2_0036840/Me1_v2_0050320",9
"GO:0009644","GO:0009644","response to high light intensity","22/446","75/5408",7.23324476795492e-08,9.56338290391755e-06,9.08234493419904e-06,"Me1_v2_0224350/Me1_v2_0214160/Me1_v2_0214180/Me1_v2_0214100/Me1_v2_0114600/Me1_v2_0103200/Me1_v2_0111960/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0135890/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0125070/Me1_v2_0083500/Me1_v2_0134820/Me1_v2_0094600/Me1_v2_0171870/Me1_v2_0124990/Me1_v2_0184520/Me1_v2_0070300/Me1_v2_0196690",22
"GO:0009521","GO:0009521","photosystem","9/446","14/5408",2.24768194461597e-07,2.77363951965611e-05,2.63412550702363e-05,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0070300",9
"GO:0031409","GO:0031409","pigment binding","10/446","18/5408",3.15532979224e-07,3.65032215339765e-05,3.46671102173737e-05,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0184520",10
"GO:0044242","GO:0044242","cellular lipid catabolic process","16/446","46/5408",3.41949693482216e-07,3.66413402929192e-05,3.47982816054907e-05,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0096810/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0096800/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0027320/Me1_v2_0163300/Me1_v2_0096780/Me1_v2_0053830/Me1_v2_0120920",16
"GO:0009765","GO:0009765","photosynthesis, light harvesting","13/446","31/5408",3.56317733804725e-07,3.66413402929192e-05,3.47982816054907e-05,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0134820/Me1_v2_0078350/Me1_v2_0184520",13
"GO:0009768","GO:0009768","photosynthesis, light harvesting in photosystem I","10/446","19/5408",6.17416439734009e-07,6.0149359470929e-05,5.71238478867477e-05,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0184520",10
"GO:0009523","GO:0009523","photosystem II","8/446","12/5408",7.41298145622949e-07,6.8607143377404e-05,6.51562054310698e-05,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520/Me1_v2_0070300",8
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","13/446","33/5408",8.48805249271024e-07,7.48161198286031e-05,7.10528704903564e-05,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0102850/Me1_v2_0052020/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",13
"GO:0016042","GO:0016042","lipid catabolic process","16/446","50/5408",1.24476942084138e-06,0.000104730372635337,9.94624369763212e-05,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0096810/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0096800/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0027320/Me1_v2_0163300/Me1_v2_0096780/Me1_v2_0053830/Me1_v2_0120920",16
"GO:0006635","GO:0006635","fatty acid beta-oxidation","11/446","25/5408",1.63463983069364e-06,0.000129078678671122,0.000122586023703133,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",11
"GO:0044282","GO:0044282","small molecule catabolic process","24/446","102/5408",1.67362954516852e-06,0.000129078678671122,0.000122586023703133,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0133400/Me1_v2_0199720/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0039210/Me1_v2_0072050/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0085320/Me1_v2_0052020/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0036840/Me1_v2_0181120/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0050320/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",24
"GO:0009503","GO:0009503","thylakoid light-harvesting complex","7/446","10/5408",2.38995391231477e-06,0.000163844618210912,0.000155603237176049,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520",7
"GO:0009517","GO:0009517","PSII associated light-harvesting complex II","7/446","10/5408",2.38995391231477e-06,0.000163844618210912,0.000155603237176049,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520",7
"GO:0030076","GO:0030076","light-harvesting complex","7/446","10/5408",2.38995391231477e-06,0.000163844618210912,0.000155603237176049,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520",7
"GO:0019395","GO:0019395","fatty acid oxidation","11/446","26/5408",2.62529814634401e-06,0.000173550959602956,0.000164821349789267,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",11
"GO:0009642","GO:0009642","response to light intensity","25/446","112/5408",2.86286655784951e-06,0.000182729862019981,0.000173538553597411,"Me1_v2_0224350/Me1_v2_0214160/Me1_v2_0214180/Me1_v2_0214100/Me1_v2_0114600/Me1_v2_0103200/Me1_v2_0111960/Me1_v2_0185340/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0080830/Me1_v2_0207400/Me1_v2_0135890/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0125070/Me1_v2_0083500/Me1_v2_0134820/Me1_v2_0094600/Me1_v2_0171870/Me1_v2_0124990/Me1_v2_0184520/Me1_v2_0070300/Me1_v2_0196690",25
"GO:0006551","GO:0006551","leucine metabolic process","8/446","14/5408",3.87434522059634e-06,0.000239047100110794,0.000227023035733189,"Me1_v2_0199720/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0115590/Me1_v2_0085320/Me1_v2_0036840/Me1_v2_0162930/Me1_v2_0050320",8
"GO:0009062","GO:0009062","fatty acid catabolic process","11/446","27/5408",4.10500427180368e-06,0.000242214964780167,0.000230031556872745,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",11
"GO:0046906","GO:0046906","tetrapyrrole binding","12/446","32/5408",4.18740079576734e-06,0.000242214964780167,0.000230031556872745,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0134820/Me1_v2_0184520",12
"GO:0009522","GO:0009522","photosystem I","7/446","11/5408",6.10643855995785e-06,0.000341081699118945,0.000323925296442116,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0073130/Me1_v2_0184520",7
"GO:0034440","GO:0034440","lipid oxidation","11/446","28/5408",6.26514196112595e-06,0.000341081699118945,0.000323925296442116,"Me1_v2_0133400/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0072050/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",11
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","13/446","39/5408",7.5817015580089e-06,0.000400963702396414,0.000380795236146613,"Me1_v2_0133400/Me1_v2_0199720/Me1_v2_0159980/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0057530/Me1_v2_0036840/Me1_v2_0091280/Me1_v2_0112000/Me1_v2_0189820/Me1_v2_0107080/Me1_v2_0162590/Me1_v2_0168570",13
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","10/446","24/5408",8.9732366836468e-06,0.000461373919484173,0.000438166820517256,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0199720/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0115590/Me1_v2_0085320/Me1_v2_0036840/Me1_v2_0162930/Me1_v2_0050320",10
"GO:0009063","GO:0009063","cellular amino acid catabolic process","13/446","40/5408",1.04015584631762e-05,0.000520359046360519,0.000494184996685755,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0199720/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0085320/Me1_v2_0052020/Me1_v2_0036840/Me1_v2_0181120/Me1_v2_0050320",13
"GO:0019684","GO:0019684","photosynthesis, light reaction","18/446","73/5408",1.70422773720394e-05,0.000830138300411708,0.000788382360423983,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0042270/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0134820/Me1_v2_0078350/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0202920/Me1_v2_0070300",18
"GO:0010218","GO:0010218","response to far red light","12/446","37/5408",2.34353045937879e-05,0.00111227561033593,0.00105632816927465,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0135890/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0171870/Me1_v2_0184520",12
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","29/446","157/5408",2.4530344346724e-05,0.00113280483589869,0.00107582477520021,"Me1_v2_0224350/Me1_v2_0130990/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0042270/Me1_v2_0073130/Me1_v2_0115590/Me1_v2_0038880/Me1_v2_0158220/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0194020/Me1_v2_0228450/Me1_v2_0134820/Me1_v2_0078350/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0120920/Me1_v2_0064410/Me1_v2_0153620/Me1_v2_0099360/Me1_v2_0168570",29
"GO:0098807","GO:0098807","chloroplast thylakoid membrane protein complex","8/446","17/5408",2.50918413138013e-05,0.00113280483589869,0.00107582477520021,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0073130/Me1_v2_0111850/Me1_v2_0184520",8
"GO:0009269","GO:0009269","response to desiccation","7/446","13/5408",2.74178580634519e-05,0.00120834417322499,0.00114756448536252,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0068040/Me1_v2_0073130/Me1_v2_0184520",7
"GO:0010114","GO:0010114","response to red light","13/446","45/5408",4.29982629836262e-05,0.00185092522750447,0.00175782372540161,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0135890/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0171870/Me1_v2_0184520/Me1_v2_0221950",13
"GO:0004806","GO:0004806","triglyceride lipase activity","6/446","10/5408",4.79844632940814e-05,0.00197376092349655,0.0018744807883302,"Me1_v2_0096810/Me1_v2_0156250/Me1_v2_0096800/Me1_v2_0083280/Me1_v2_0027320/Me1_v2_0096780",6
"GO:0009769","GO:0009769","photosynthesis, light harvesting in photosystem II","6/446","10/5408",4.79844632940814e-05,0.00197376092349655,0.0018744807883302,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0184520",6
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","11/446","36/5408",9.5423983784001e-05,0.003839778130091,0.00364663736657395,"Me1_v2_0199720/Me1_v2_0039210/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0085320/Me1_v2_0052020/Me1_v2_0036840/Me1_v2_0181120/Me1_v2_0050320",11
"GO:0015979","GO:0015979","photosynthesis","19/446","91/5408",0.0001182911990925,0.00465865977702592,0.00442432928296698,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0042270/Me1_v2_0073130/Me1_v2_0042180/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0134820/Me1_v2_0078350/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0202920/Me1_v2_0070300",19
"GO:0090333","GO:0090333","regulation of stomatal closure","7/446","16/5408",0.00014675434426691,0.0056592144007927,0.00537455602907323,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0215600/Me1_v2_0184520",7
"GO:0080167","GO:0080167","response to karrikin","11/446","38/5408",0.0001642374561111,0.00620415369921729,0.00589208489163347,"Me1_v2_0060490/Me1_v2_0162900/Me1_v2_0133170/Me1_v2_0135890/Me1_v2_0195300/Me1_v2_0207470/Me1_v2_0077730/Me1_v2_0187160/Me1_v2_0171870/Me1_v2_0066470/Me1_v2_0216110",11
