term	name
GO:1903506	regulation of nucleic acid-templated transcription
GO:1903508	positive regulation of nucleic acid-templated transcription
GO:2000112	regulation of cellular macromolecule biosynthetic process
GO:2001141	regulation of RNA biosynthetic process
GO:0003700	DNA-binding transcription factor activity
GO:0005543	phospholipid binding
GO:0007275	multicellular organism development
GO:0008289	lipid binding
GO:0009555	pollen development
GO:0032501	multicellular organismal process
GO:0032502	developmental process
GO:0035091	phosphatidylinositol binding
GO:0048229	gametophyte development
GO:0048856	anatomical structure development
GO:0140110	transcription regulator activity
GO:0009507	chloroplast
GO:0009536	plastid
GO:0009526	plastid envelope
GO:0009532	plastid stroma
GO:0009534	chloroplast thylakoid
GO:0009535	chloroplast thylakoid membrane
GO:0009570	chloroplast stroma
GO:0009579	thylakoid
GO:0009941	chloroplast envelope
GO:0010287	plastoglobule
GO:0016020	membrane
GO:0031967	organelle envelope
GO:0031975	envelope
GO:0031976	plastid thylakoid
GO:0031984	organelle subcompartment
GO:0034357	photosynthetic membrane
GO:0042651	thylakoid membrane
GO:0055035	plastid thylakoid membrane
GO:0004312	fatty acid synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0006629	lipid metabolic process
GO:0006631	fatty acid metabolic process
GO:0006633	fatty acid biosynthetic process
GO:0008610	lipid biosynthetic process
GO:0009058	biosynthetic process
GO:0016053	organic acid biosynthetic process
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016740	transferase activity
GO:0016746	acyltransferase activity
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0030497	fatty acid elongation
GO:0044238	primary metabolic process
GO:0044249	cellular biosynthetic process
GO:0044255	cellular lipid metabolic process
GO:0044283	small molecule biosynthetic process
GO:0046394	carboxylic acid biosynthetic process
GO:0050661	NADP binding
GO:0072330	monocarboxylic acid biosynthetic process
GO:1901576	organic substance biosynthetic process
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0000228	nuclear chromosome
GO:0000785	chromatin
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0005654	nucleoplasm
GO:0005694	chromosome
GO:0006139	nucleobase-containing compound metabolic process
GO:0006325	chromatin organization
GO:0006338	chromatin remodeling
GO:0006351	transcription, DNA-templated
GO:0006357	regulation of transcription by RNA polymerase II
GO:0006725	cellular aromatic compound metabolic process
GO:0006996	organelle organization
GO:0007399	nervous system development
GO:0007417	central nervous system development
GO:0007420	brain development
GO:0008134	transcription factor binding
GO:0009059	macromolecule biosynthetic process
GO:0009890	negative regulation of biosynthetic process
GO:0009892	negative regulation of metabolic process
GO:0010467	gene expression
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0010605	negative regulation of macromolecule metabolic process
GO:0010629	negative regulation of gene expression
GO:0016043	cellular component organization
GO:0016070	RNA metabolic process
GO:0016589	NURF complex
GO:0018130	heterocycle biosynthetic process
GO:0019438	aromatic compound biosynthetic process
GO:0031010	ISWI-type complex
GO:0031324	negative regulation of cellular metabolic process
GO:0031327	negative regulation of cellular biosynthetic process
GO:0031974	membrane-enclosed lumen
GO:0031981	nuclear lumen
GO:0032774	RNA biosynthetic process
GO:0034641	cellular nitrogen compound metabolic process
GO:0034645	cellular macromolecule biosynthetic process
GO:0034654	nucleobase-containing compound biosynthetic process
GO:0043170	macromolecule metabolic process
GO:0043228	non-membrane-bounded organelle
GO:0043232	intracellular non-membrane-bounded organelle
GO:0043233	organelle lumen
GO:0043565	sequence-specific DNA binding
GO:0044260	cellular macromolecule metabolic process
GO:0044271	cellular nitrogen compound biosynthetic process
GO:0045892	negative regulation of transcription, DNA-templated
GO:0045934	negative regulation of nucleobase-containing compound metabolic process
GO:0046483	heterocycle metabolic process
GO:0048513	animal organ development
GO:0048731	system development
GO:0051172	negative regulation of nitrogen compound metabolic process
GO:0051253	negative regulation of RNA metabolic process
GO:0051276	chromosome organization
GO:0060322	head development
GO:0070013	intracellular organelle lumen
GO:0070603	SWI/SNF superfamily-type complex
GO:0071840	cellular component organization or biogenesis
GO:0090304	nucleic acid metabolic process
GO:0097659	nucleic acid-templated transcription
GO:1901360	organic cyclic compound metabolic process
GO:1901362	organic cyclic compound biosynthetic process
GO:1902494	catalytic complex
GO:1902679	negative regulation of RNA biosynthetic process
GO:1903507	negative regulation of nucleic acid-templated transcription
GO:1904949	ATPase complex
GO:2000113	negative regulation of cellular macromolecule biosynthetic process
GO:0000139	Golgi membrane
GO:0005794	Golgi apparatus
GO:0005795	Golgi stack
GO:0005797	Golgi medial cisterna
GO:0006464	cellular protein modification process
GO:0006486	protein glycosylation
GO:0006487	protein N-linked glycosylation
GO:0006605	protein targeting
GO:0006612	protein targeting to membrane
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane
GO:0006810	transport
GO:0006886	intracellular protein transport
GO:0008104	protein localization
GO:0008194	UDP-glycosyltransferase activity
GO:0009100	glycoprotein metabolic process
GO:0009101	glycoprotein biosynthetic process
GO:0012505	endomembrane system
GO:0015031	protein transport
GO:0015833	peptide transport
GO:0016757	glycosyltransferase activity
GO:0016763	pentosyltransferase activity
GO:0019538	protein metabolic process
GO:0031090	organelle membrane
GO:0031204	post-translational protein targeting to membrane, translocation
GO:0031985	Golgi cisterna
GO:0033036	macromolecule localization
GO:0033365	protein localization to organelle
GO:0034613	cellular protein localization
GO:0035252	UDP-xylosyltransferase activity
GO:0036211	protein modification process
GO:0042285	xylosyltransferase activity
GO:0042886	amide transport
GO:0043412	macromolecule modification
GO:0043413	macromolecule glycosylation
GO:0044267	cellular protein metabolic process
GO:0045047	protein targeting to ER
GO:0045184	establishment of protein localization
GO:0046907	intracellular transport
GO:0050513	glycoprotein 2-beta-D-xylosyltransferase activity
GO:0051179	localization
GO:0051234	establishment of localization
GO:0051641	cellular localization
GO:0051649	establishment of localization in cell
GO:0055085	transmembrane transport
GO:0065002	intracellular protein transmembrane transport
GO:0070085	glycosylation
GO:0070727	cellular macromolecule localization
GO:0070972	protein localization to endoplasmic reticulum
GO:0071702	organic substance transport
GO:0071705	nitrogen compound transport
GO:0071806	protein transmembrane transport
GO:0072594	establishment of protein localization to organelle
GO:0072599	establishment of protein localization to endoplasmic reticulum
GO:0072657	protein localization to membrane
GO:0090150	establishment of protein localization to membrane
GO:0098588	bounding membrane of organelle
GO:0098791	Golgi apparatus subcompartment
GO:1901135	carbohydrate derivative metabolic process
GO:1901137	carbohydrate derivative biosynthetic process
GO:1901564	organonitrogen compound metabolic process
GO:1901566	organonitrogen compound biosynthetic process
GO:0000140	acylglycerone-phosphate reductase activity
GO:0004806	triglyceride lipase activity
GO:0005783	endoplasmic reticulum
GO:0005811	lipid droplet
GO:0006638	neutral lipid metabolic process
GO:0006639	acylglycerol metabolic process
GO:0006641	triglyceride metabolic process
GO:0006644	phospholipid metabolic process
GO:0006650	glycerophospholipid metabolic process
GO:0006654	phosphatidic acid biosynthetic process
GO:0006793	phosphorus metabolic process
GO:0006796	phosphate-containing compound metabolic process
GO:0008654	phospholipid biosynthetic process
GO:0009056	catabolic process
GO:0016042	lipid catabolic process
GO:0016298	lipase activity
GO:0016787	hydrolase activity
GO:0016788	hydrolase activity, acting on ester bonds
GO:0019433	triglyceride catabolic process
GO:0019637	organophosphate metabolic process
GO:0044242	cellular lipid catabolic process
GO:0044248	cellular catabolic process
GO:0045017	glycerolipid biosynthetic process
GO:0046461	neutral lipid catabolic process
GO:0046464	acylglycerol catabolic process
GO:0046473	phosphatidic acid metabolic process
GO:0046474	glycerophospholipid biosynthetic process
GO:0046486	glycerolipid metabolic process
GO:0046503	glycerolipid catabolic process
GO:0052689	carboxylic ester hydrolase activity
GO:0090407	organophosphate biosynthetic process
GO:1901575	organic substance catabolic process
GO:0000049	tRNA binding
GO:0003723	RNA binding
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004813	alanine-tRNA ligase activity
GO:0006396	RNA processing
GO:0006399	tRNA metabolic process
GO:0006400	tRNA modification
GO:0006412	translation
GO:0006418	tRNA aminoacylation for protein translation
GO:0006419	alanyl-tRNA aminoacylation
GO:0006518	peptide metabolic process
GO:0006520	cellular amino acid metabolic process
GO:0008033	tRNA processing
GO:0009451	RNA modification
GO:0010035	response to inorganic substance
GO:0010038	response to metal ion
GO:0016597	amino acid binding
GO:0016874	ligase activity
GO:0016875	ligase activity, forming carbon-oxygen bonds
GO:0031406	carboxylic acid binding
GO:0034470	ncRNA processing
GO:0034660	ncRNA metabolic process
GO:0042221	response to chemical
GO:0043038	amino acid activation
GO:0043039	tRNA aminoacylation
GO:0043043	peptide biosynthetic process
GO:0043177	organic acid binding
GO:0043603	cellular amide metabolic process
GO:0043604	amide biosynthetic process
GO:0046686	response to cadmium ion
GO:0050896	response to stimulus
GO:0140098	catalytic activity, acting on RNA
GO:0140101	catalytic activity, acting on a tRNA
GO:0004176	ATP-dependent peptidase activity
GO:0006508	proteolysis
GO:0008233	peptidase activity
GO:0008237	metallopeptidase activity
GO:0016462	pyrophosphatase activity
GO:0016817	hydrolase activity, acting on acid anhydrides
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016887	ATP hydrolysis activity
GO:0017111	nucleoside-triphosphatase activity
GO:0140096	catalytic activity, acting on a protein
GO:0004672	protein kinase activity
GO:0004674	protein serine/threonine kinase activity
GO:0004683	calmodulin-dependent protein kinase activity
GO:0005516	calmodulin binding
GO:0006468	protein phosphorylation
GO:0007154	cell communication
GO:0007165	signal transduction
GO:0009605	response to external stimulus
GO:0009607	response to biotic stimulus
GO:0009608	response to symbiont
GO:0009877	nodulation
GO:0009931	calcium-dependent protein serine/threonine kinase activity
GO:0010857	calcium-dependent protein kinase activity
GO:0016301	kinase activity
GO:0016310	phosphorylation
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0018105	peptidyl-serine phosphorylation
GO:0018193	peptidyl-amino acid modification
GO:0018209	peptidyl-serine modification
GO:0023052	signaling
GO:0035556	intracellular signal transduction
GO:0043207	response to external biotic stimulus
GO:0044403	biological process involved in symbiotic interaction
GO:0044419	biological process involved in interspecies interaction between organisms
GO:0046777	protein autophosphorylation
GO:0051707	response to other organism
GO:0051716	cellular response to stimulus
GO:0000323	lytic vacuole
GO:0001101	response to acid chemical
GO:0004819	glutamine-tRNA ligase activity
GO:0004823	leucine-tRNA ligase activity
GO:0004832	valine-tRNA ligase activity
GO:0005096	GTPase activator activity
GO:0005764	lysosome
GO:0005773	vacuole
GO:0005911	cell-cell junction
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0006429	leucyl-tRNA aminoacylation
GO:0006438	valyl-tRNA aminoacylation
GO:0006622	protein targeting to lysosome
GO:0006623	protein targeting to vacuole
GO:0006950	response to stress
GO:0007034	vacuolar transport
GO:0007041	lysosomal transport
GO:0008047	enzyme activator activity
GO:0008361	regulation of cell size
GO:0009267	cellular response to starvation
GO:0009506	plasmodesma
GO:0009719	response to endogenous stimulus
GO:0009894	regulation of catabolic process
GO:0009895	negative regulation of catabolic process
GO:0009966	regulation of signal transduction
GO:0009967	positive regulation of signal transduction
GO:0009991	response to extracellular stimulus
GO:0010033	response to organic substance
GO:0010243	response to organonitrogen compound
GO:0010506	regulation of autophagy
GO:0010507	negative regulation of autophagy
GO:0010646	regulation of cell communication
GO:0010647	positive regulation of cell communication
GO:0016604	nuclear body
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
GO:0023051	regulation of signaling
GO:0023056	positive regulation of signaling
GO:0030054	cell junction
GO:0030234	enzyme regulator activity
GO:0030695	GTPase regulator activity
GO:0031329	regulation of cellular catabolic process
GO:0031330	negative regulation of cellular catabolic process
GO:0031667	response to nutrient levels
GO:0031668	cellular response to extracellular stimulus
GO:0031669	cellular response to nutrient levels
GO:0032006	regulation of TOR signaling
GO:0032008	positive regulation of TOR signaling
GO:0032535	regulation of cellular component size
GO:0033554	cellular response to stress
GO:0034198	cellular response to amino acid starvation
GO:0042594	response to starvation
GO:0043085	positive regulation of catalytic activity
GO:0043087	regulation of GTPase activity
GO:0043200	response to amino acid
GO:0043201	response to leucine
GO:0043547	positive regulation of GTPase activity
GO:0044093	positive regulation of molecular function
GO:0048583	regulation of response to stimulus
GO:0048584	positive regulation of response to stimulus
GO:0050790	regulation of catalytic activity
GO:0051336	regulation of hydrolase activity
GO:0051345	positive regulation of hydrolase activity
GO:0055044	symplast
GO:0060589	nucleoside-triphosphatase regulator activity
GO:0061462	protein localization to lysosome
GO:0065008	regulation of biological quality
GO:0065009	regulation of molecular function
GO:0070887	cellular response to chemical stimulus
GO:0071229	cellular response to acid chemical
GO:0071230	cellular response to amino acid stimulus
GO:0071233	cellular response to leucine
GO:0071310	cellular response to organic substance
GO:0071417	cellular response to organonitrogen compound
GO:0071495	cellular response to endogenous stimulus
GO:0071496	cellular response to external stimulus
GO:0072665	protein localization to vacuole
GO:0072666	establishment of protein localization to vacuole
GO:0090066	regulation of anatomical structure size
GO:0098772	molecular function regulator activity
GO:1901698	response to nitrogen compound
GO:1901699	cellular response to nitrogen compound
GO:1901700	response to oxygen-containing compound
GO:1901701	cellular response to oxygen-containing compound
GO:1902531	regulation of intracellular signal transduction
GO:1902533	positive regulation of intracellular signal transduction
GO:1903432	regulation of TORC1 signaling
GO:1904263	positive regulation of TORC1 signaling
GO:1990253	cellular response to leucine starvation
GO:1990928	response to amino acid starvation
GO:0007623	circadian rhythm
GO:0009314	response to radiation
GO:0009416	response to light stimulus
GO:0009628	response to abiotic stimulus
GO:0009642	response to light intensity
GO:0009643	photosynthetic acclimation
GO:0010109	regulation of photosynthesis
GO:0042548	regulation of photosynthesis, light reaction
GO:0043467	regulation of generation of precursor metabolites and energy
GO:0048511	rhythmic process
GO:0004857	enzyme inhibitor activity
GO:0009896	positive regulation of catabolic process
GO:0019899	enzyme binding
GO:0030162	regulation of proteolysis
GO:0031331	positive regulation of cellular catabolic process
GO:0031396	regulation of protein ubiquitination
GO:0031398	positive regulation of protein ubiquitination
GO:0031399	regulation of protein modification process
GO:0031401	positive regulation of protein modification process
GO:0031625	ubiquitin protein ligase binding
GO:0032268	regulation of cellular protein metabolic process
GO:0032270	positive regulation of cellular protein metabolic process
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0042176	regulation of protein catabolic process
GO:0043086	negative regulation of catalytic activity
GO:0044092	negative regulation of molecular function
GO:0044389	ubiquitin-like protein ligase binding
GO:0045732	positive regulation of protein catabolic process
GO:0045862	positive regulation of proteolysis
GO:0051246	regulation of protein metabolic process
GO:0051247	positive regulation of protein metabolic process
GO:0061136	regulation of proteasomal protein catabolic process
GO:1901800	positive regulation of proteasomal protein catabolic process
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
GO:1903320	regulation of protein modification by small protein conjugation or removal
GO:1903322	positive regulation of protein modification by small protein conjugation or removal
GO:1903362	regulation of cellular protein catabolic process
GO:1903364	positive regulation of cellular protein catabolic process
GO:2000058	regulation of ubiquitin-dependent protein catabolic process
GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process
GO:0005789	endoplasmic reticulum membrane
GO:0005886	plasma membrane
GO:0016021	integral component of membrane
GO:0030176	integral component of endoplasmic reticulum membrane
GO:0031224	intrinsic component of membrane
GO:0031227	intrinsic component of endoplasmic reticulum membrane
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0042802	identical protein binding
GO:0044232	organelle membrane contact site
GO:0071944	cell periphery
GO:0098827	endoplasmic reticulum subcompartment
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0005759	mitochondrial matrix
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0006099	tricarboxylic acid cycle
GO:0006101	citrate metabolic process
GO:0009060	aerobic respiration
GO:0009353	mitochondrial oxoglutarate dehydrogenase complex
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016999	antibiotic metabolic process
GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0045240	dihydrolipoyl dehydrogenase complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0072350	tricarboxylic acid metabolic process
GO:0098798	mitochondrial protein-containing complex
GO:1990204	oxidoreductase complex
GO:1990234	transferase complex
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000322	storage vacuole
GO:0000324	fungal-type vacuole
GO:0000329	fungal-type vacuole membrane
GO:0005768	endosome
GO:0005774	vacuolar membrane
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0007033	vacuole organization
GO:0010008	endosome membrane
GO:0010118	stomatal movement
GO:0010256	endomembrane system organization
GO:0016192	vesicle-mediated transport
GO:0016197	endosomal transport
GO:0016307	phosphatidylinositol phosphate kinase activity
GO:0016482	cytosolic transport
GO:0019898	extrinsic component of membrane
GO:0030258	lipid modification
GO:0031410	cytoplasmic vesicle
GO:0031982	vesicle
GO:0032266	phosphatidylinositol-3-phosphate binding
GO:0035032	phosphatidylinositol 3-kinase complex, class III
GO:0042147	retrograde transport, endosome to Golgi
GO:0046488	phosphatidylinositol metabolic process
GO:0046834	lipid phosphorylation
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0061695	transferase complex, transferring phosphorus-containing groups
GO:0070772	PAS complex
GO:0090332	stomatal closure
GO:0097708	intracellular vesicle
GO:0098796	membrane protein complex
GO:0098852	lytic vacuole membrane
GO:1901981	phosphatidylinositol phosphate binding
GO:0006811	ion transport
GO:0006812	cation transport
GO:0006816	calcium ion transport
GO:0006873	cellular ion homeostasis
GO:0006874	cellular calcium ion homeostasis
GO:0006875	cellular metal ion homeostasis
GO:0007204	positive regulation of cytosolic calcium ion concentration
GO:0008285	negative regulation of cell population proliferation
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0019725	cellular homeostasis
GO:0030001	metal ion transport
GO:0030003	cellular cation homeostasis
GO:0032879	regulation of localization
GO:0033017	sarcoplasmic reticulum membrane
GO:0034220	ion transmembrane transport
GO:0042127	regulation of cell population proliferation
GO:0042592	homeostatic process
GO:0044325	transmembrane transporter binding
GO:0048471	perinuclear region of cytoplasm
GO:0048878	chemical homeostasis
GO:0050801	ion homeostasis
GO:0050848	regulation of calcium-mediated signaling
GO:0050850	positive regulation of calcium-mediated signaling
GO:0051209	release of sequestered calcium ion into cytosol
GO:0051282	regulation of sequestering of calcium ion
GO:0051283	negative regulation of sequestering of calcium ion
GO:0051480	regulation of cytosolic calcium ion concentration
GO:0055065	metal ion homeostasis
GO:0055074	calcium ion homeostasis
GO:0055080	cation homeostasis
GO:0055082	cellular chemical homeostasis
GO:0060402	calcium ion transport into cytosol
GO:0070588	calcium ion transmembrane transport
GO:0070884	regulation of calcineurin-NFAT signaling cascade
GO:0070886	positive regulation of calcineurin-NFAT signaling cascade
GO:0072503	cellular divalent inorganic cation homeostasis
GO:0072507	divalent inorganic cation homeostasis
GO:0097553	calcium ion transmembrane import into cytosol
GO:0098655	cation transmembrane transport
GO:0098660	inorganic ion transmembrane transport
GO:0098662	inorganic cation transmembrane transport
GO:0098771	inorganic ion homeostasis
GO:0106056	regulation of calcineurin-mediated signaling
GO:0106058	positive regulation of calcineurin-mediated signaling
GO:0004822	isoleucine-tRNA ligase activity
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0051020	GTPase binding
GO:0004843	cysteine-type deubiquitinase activity
GO:0008234	cysteine-type peptidase activity
GO:0009725	response to hormone
GO:0009753	response to jasmonic acid
GO:0009755	hormone-mediated signaling pathway
GO:0009867	jasmonic acid mediated signaling pathway
GO:0019783	ubiquitin-like protein peptidase activity
GO:0032870	cellular response to hormone stimulus
GO:0071395	cellular response to jasmonic acid stimulus
GO:0101005	deubiquitinase activity
GO:0007568	aging
GO:0008893	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
GO:0009611	response to wounding
GO:0010150	leaf senescence
GO:0015979	photosynthesis
GO:0016794	diphosphoric monoester hydrolase activity
GO:0042578	phosphoric ester hydrolase activity
GO:0048366	leaf development
GO:0048367	shoot system development
GO:0048827	phyllome development
GO:0090693	plant organ senescence
GO:0099402	plant organ development
GO:0000003	reproduction
GO:0000070	mitotic sister chromatid segregation
GO:0000226	microtubule cytoskeleton organization
GO:0000278	mitotic cell cycle
GO:0000280	nuclear division
GO:0000819	sister chromatid segregation
GO:0003006	developmental process involved in reproduction
GO:0006928	movement of cell or subcellular component
GO:0007010	cytoskeleton organization
GO:0007017	microtubule-based process
GO:0007049	cell cycle
GO:0007051	spindle organization
GO:0007052	mitotic spindle organization
GO:0007059	chromosome segregation
GO:0007076	mitotic chromosome condensation
GO:0007088	regulation of mitotic nuclear division
GO:0007098	centrosome cycle
GO:0007100	mitotic centrosome separation
GO:0007276	gamete generation
GO:0007346	regulation of mitotic cell cycle
GO:0007444	imaginal disc development
GO:0007548	sex differentiation
GO:0008354	germ cell migration
GO:0008406	gonad development
GO:0009888	tissue development
GO:0010564	regulation of cell cycle process
GO:0010638	positive regulation of organelle organization
GO:0010965	regulation of mitotic sister chromatid separation
GO:0016477	cell migration
GO:0019953	sexual reproduction
GO:0022402	cell cycle process
GO:0022412	cellular process involved in reproduction in multicellular organism
GO:0022414	reproductive process
GO:0030071	regulation of mitotic metaphase/anaphase transition
GO:0030261	chromosome condensation
GO:0031023	microtubule organizing center organization
GO:0032504	multicellular organism reproduction
GO:0033043	regulation of organelle organization
GO:0033044	regulation of chromosome organization
GO:0033045	regulation of sister chromatid segregation
GO:0033047	regulation of mitotic sister chromatid segregation
GO:0035295	tube development
GO:0040011	locomotion
GO:0044703	multi-organism reproductive process
GO:0045137	development of primary sexual characteristics
GO:0045787	positive regulation of cell cycle
GO:0045840	positive regulation of mitotic nuclear division
GO:0045842	positive regulation of mitotic metaphase/anaphase transition
GO:0045931	positive regulation of mitotic cell cycle
GO:0048285	organelle fission
GO:0048608	reproductive structure development
GO:0048609	multicellular organismal reproductive process
GO:0048870	cell motility
GO:0051130	positive regulation of cellular component organization
GO:0051298	centrosome duplication
GO:0051299	centrosome separation
GO:0051674	localization of cell
GO:0051726	regulation of cell cycle
GO:0051781	positive regulation of cell division
GO:0051783	regulation of nuclear division
GO:0051785	positive regulation of nuclear division
GO:0051983	regulation of chromosome segregation
GO:0051984	positive regulation of chromosome segregation
GO:0060429	epithelium development
GO:0061458	reproductive system development
GO:0062033	positive regulation of mitotic sister chromatid segregation
GO:0071103	DNA conformation change
GO:0090068	positive regulation of cell cycle process
GO:0098813	nuclear chromosome segregation
GO:0140014	mitotic nuclear division
GO:1901970	positive regulation of mitotic sister chromatid separation
GO:1901987	regulation of cell cycle phase transition
GO:1901989	positive regulation of cell cycle phase transition
GO:1901990	regulation of mitotic cell cycle phase transition
GO:1901992	positive regulation of mitotic cell cycle phase transition
GO:1902099	regulation of metaphase/anaphase transition of cell cycle
GO:1902101	positive regulation of metaphase/anaphase transition of cell cycle
GO:1902850	microtubule cytoskeleton organization involved in mitosis
GO:1903047	mitotic cell cycle process
GO:1905818	regulation of chromosome separation
GO:1905820	positive regulation of chromosome separation
GO:2001252	positive regulation of chromosome organization
GO:0005576	extracellular region
GO:0005840	ribosome
GO:0022626	cytosolic ribosome
GO:0048046	apoplast
GO:1990904	ribonucleoprotein complex
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0006635	fatty acid beta-oxidation
GO:0009062	fatty acid catabolic process
GO:0016054	organic acid catabolic process
GO:0016407	acetyltransferase activity
GO:0016408	C-acyltransferase activity
GO:0016453	C-acetyltransferase activity
GO:0019395	fatty acid oxidation
GO:0034440	lipid oxidation
GO:0044282	small molecule catabolic process
GO:0046395	carboxylic acid catabolic process
GO:0072329	monocarboxylic acid catabolic process
GO:0004849	uridine kinase activity
GO:0006206	pyrimidine nucleobase metabolic process
GO:0006213	pyrimidine nucleoside metabolic process
